,Goal 1,Goal 2,Goal 3,Goal 4,Avoid [Ambulance Mobilized At Station]
timestamp,cps,cps,cps,cps,cps
16:17:33.0312,0.9903,1.0000,1.0000,1.0000,0.8840
16:17:34.0312,0.9903,1.0000,1.0000,1.0000,0.8843
16:17:35.0313,0.9903,1.0000,1.0000,1.0000,0.8847
16:17:36.0330,0.9904,1.0000,1.0000,1.0000,0.8850
16:17:37.0331,0.9904,1.0000,1.0000,1.0000,0.8854
16:17:38.0331,0.9904,1.0000,1.0000,1.0000,0.8858
16:17:39.0332,0.9904,1.0000,1.0000,1.0000,0.8861
16:17:40.0332,0.9905,1.0000,1.0000,1.0000,0.8865
16:17:41.0333,0.9905,1.0000,1.0000,1.0000,0.8868
16:17:42.0355,0.9905,1.0000,1.0000,1.0000,0.8871
16:17:43.0412,0.9906,1.0000,1.0000,1.0000,0.8875
16:17:44.0444,0.9906,1.0000,1.0000,1.0000,0.8878
16:17:45.0461,0.9906,1.0000,1.0000,1.0000,0.8882
16:17:46.0488,0.9907,1.0000,1.0000,1.0000,0.8885
16:17:47.0488,0.9907,1.0000,1.0000,1.0000,0.8888
16:17:48.0507,0.9907,1.0000,1.0000,1.0000,0.8892
16:17:49.0507,0.9907,1.0000,1.0000,1.0000,0.8895
16:17:50.0508,0.9908,1.0000,1.0000,1.0000,0.8898
16:17:51.0516,0.9908,1.0000,1.0000,1.0000,0.8902
16:17:52.0517,0.9908,1.0000,1.0000,1.0000,0.8905
16:17:53.0537,0.9909,1.0000,1.0000,1.0000,0.8908
16:17:54.0543,0.9909,1.0000,1.0000,1.0000,0.8911
16:17:55.0543,0.9909,1.0000,1.0000,1.0000,0.8914
16:17:56.0544,0.9909,1.0000,1.0000,1.0000,0.8918
16:17:57.0544,0.9910,1.0000,1.0000,1.0000,0.8921
16:17:58.0549,0.9910,1.0000,1.0000,1.0000,0.8924
16:17:59.0554,0.9910,1.0000,1.0000,1.0000,0.8927
16:18:00.0578,0.9910,1.0000,1.0000,1.0000,0.8930
16:18:01.0579,0.9911,1.0000,1.0000,1.0000,0.8933
16:18:02.0579,0.9911,1.0000,1.0000,1.0000,0.8936
16:18:03.0580,0.9911,1.0000,1.0000,1.0000,0.8939
16:18:04.0582,0.9912,1.0000,1.0000,1.0000,0.8942
16:18:05.0601,0.9912,1.0000,1.0000,1.0000,0.8945
16:18:06.0601,0.9912,1.0000,1.0000,1.0000,0.8948
16:18:07.0632,0.9912,1.0000,1.0000,1.0000,0.8951
16:18:08.0635,0.9913,1.0000,1.0000,1.0000,0.8954
16:18:09.0636,0.9913,1.0000,1.0000,1.0000,0.8957
16:18:10.0659,0.9913,1.0000,1.0000,1.0000,0.8960
16:18:11.0663,0.9913,1.0000,1.0000,1.0000,0.8963
16:18:12.0677,0.9914,1.0000,1.0000,1.0000,0.8966
16:18:13.0683,0.9914,1.0000,1.0000,1.0000,0.8969
16:18:14.0695,0.9914,1.0000,1.0000,1.0000,0.8972
16:18:15.0696,0.9914,1.0000,1.0000,1.0000,0.8975
16:18:16.0696,0.9915,1.0000,1.0000,1.0000,0.8977
16:18:17.0697,0.9915,1.0000,1.0000,1.0000,0.8980
16:18:18.0697,0.9915,1.0000,1.0000,1.0000,0.8983
16:18:19.0698,0.9915,1.0000,1.0000,1.0000,0.8986
16:18:20.0729,0.9915,1.0000,1.0000,1.0000,0.8989
16:18:21.0729,0.9916,1.0000,1.0000,1.0000,0.8991
16:18:22.0730,0.9916,1.0000,1.0000,1.0000,0.8994
16:18:23.0730,0.9916,1.0000,1.0000,1.0000,0.8997
16:18:24.0731,0.9916,1.0000,1.0000,1.0000,0.9000
16:18:25.0731,0.9917,1.0000,1.0000,1.0000,0.9002
16:18:26.0732,0.9917,1.0000,1.0000,1.0000,0.9005
16:18:27.0746,0.9917,1.0000,1.0000,1.0000,0.9008
16:18:28.0747,0.9917,1.0000,1.0000,1.0000,0.9010
16:18:29.0761,0.9918,1.0000,1.0000,1.0000,0.9013
16:18:30.0762,0.9918,1.0000,1.0000,1.0000,0.9015
16:18:31.0762,0.9918,1.0000,1.0000,1.0000,0.9018
16:18:32.0763,0.9918,1.0000,1.0000,1.0000,0.9021
16:18:33.0763,0.9918,1.0000,1.0000,1.0000,0.9023
16:18:34.0764,0.9919,1.0000,1.0000,1.0000,0.9026
16:18:35.0765,0.9919,1.0000,1.0000,1.0000,0.9028
16:18:36.0782,0.9919,1.0000,1.0000,1.0000,0.9031
16:18:37.0782,0.9919,1.0000,1.0000,1.0000,0.9033
16:18:38.0814,0.9920,1.0000,1.0000,1.0000,0.9036
16:18:39.0816,0.9920,1.0000,1.0000,1.0000,0.9038
16:18:40.0816,0.9920,1.0000,1.0000,1.0000,0.9038
16:18:41.0817,0.9920,1.0000,1.0000,1.0000,0.9038
16:18:42.0817,0.9920,1.0000,1.0000,1.0000,0.9038
